Lon,Lat,Clave,Edo,Est,Tmin,Tmax,Año,Mes
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,5.4,26.8,2024,1
-102.32,21.7,MMAS,AGS,Aeropuerto Internacional de Aguascalientes Ags.*,6.7,23.4,2024,1
-102.37,21.78,NGRAG,AGS,El Niï¿½gara Ags.,3.6,24.1,2024,1
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,3.4,27.2,2024,1
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,6.2,25.0,2024,1
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,6.9,24.9,2024,1
-101.99,21.9,CNSAG,AGS,Los Conos Ags.,3.7,24.7,2024,1
-102.68,22.0,CDRAG,AGS,La Codorniz Ags.,7.0,26.7,2024,1
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,5.6,24.3,2024,1
-102.42,22.14,PECAG,AGS,Plutarco Elï¿½as Calles Ags.,6.1,22.2,2024,1
-102.28,22.15,PBLAG,AGS,Pabellï¿½n Ags.,4.5,23.0,2024,1
-102.46,22.19,P50ANIV,AGS,Presa Cincuenta Aniversario Ags. SMN*,6.8,23.3,2024,1
-102.14,22.2,PTOAG,AGS,Puerto de la Concepciï¿½n Ags.,7.4,20.7,2024,1
-102.44,22.24,PTRAG,AGS,Derivadora Pabellï¿½n Ags.,6.1,23.1,2024,1
-102.61,22.27,SIERRAFRIA,AGS,Sierra Frï¿½a Ags. SMN*,4.2,15.9,2024,1
-102.3,22.36,CSOAG,AGS,Cosï¿½o Ags.,-2.1,15.2,2024,1
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,3.9,23.0,2024,1
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,4.7,24.5,2024,1
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,-0.7,22.5,2024,1
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,1.7,18.2,2024,1
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,4.9,23.0,2024,1
-102.2,22.01,CHOAG,AGS,Caï¿½ada Honda Ags.,3.4,23.8,2024,1
-102.0,22.02,NVLAG,AGS,El Novillo Ags.,1.8,20.6,2024,1
-102.07,22.1,VJZAG,AGS,Villa Juï¿½rez Ags.,-1.2,23.6,2024,1
-102.5,21.88,AGUASCALIENTESo,AGS,Observatorio de Aguascalientes Ags. SMN*,6.3,24.4,2024,1
-114.72,29.73,CATAVINA,BC,Cataviï¿½a B.C. SMN*,7.1,19.1,2024,1
-116.91,32.44,ALRBN,BC,Abelardo L. Rodrï¿½guez B.C.,7.7,19.5,2024,1
-116.83,32.47,EFLBN,BC,El Florido B.C.,7.4,18.9,2024,1
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,8.0,19.7,2024,1
-114.73,32.7,PDMBN,BC,Presa derivadora Morelos B.C.,8.6,22.1,2024,1
-115.27,32.39,MXCBN,BC,Mexicali B.C.,8.4,23.5,2024,1
-115.94,30.53,SQNBN,BC,San Quintï¿½n B.C. SMN*,8.1,18.7,2024,1
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio Lï¿½pez Zamora B.C. SMN*,8.5,19.1,2024,1
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,9.9,18.2,2024,1
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. Rodrï¿½guez. 2 B.C. SMN*,9.5,20.3,2024,1
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,6.7,17.7,2024,1
-114.85,31.03,SFLBN,BC,Observatorio de San Felipe B.C.,9.4,21.2,2024,1
-115.15,32.41,ENLBN,BC,Observatorio de Ejido Nuevo Leï¿½n B.C.,6.7,21.9,2024,1
-115.46,32.67,MEXBN,BC,Mexicali B.C. SMN*,9.0,20.3,2024,1
-115.5,31.1,ISANPEDR1,BC,San Pedro Mï¿½rtir B.C. UNAM*,-1.1,6.5,2024,1
-116.97,32.54,MMTJ,BC,Aeropuerto Internacional de Tijuana B.C.*,8.0,18.6,2024,1
-115.25,32.63,MMML,BC,Aeropuerto Internacional de Mexicali B.C.*,7.0,20.0,2024,1
-115.92,32.04,CONST1857,BC,Constituciï¿½n de 1857 B.C. SMN*,-2.2,12.2,2024,1
-116.17,31.1,ENSBN,BC,Observatorio de Ensenada B.C.,7.9,20.6,2024,1
-116.64,31.7,PTBBN,BC,Punta Banda B.C.,9.4,20.8,2024,1
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,8.6,19.6,2024,1
-117.25,32.42,ISLACORONADOMAR,BC,Isla Coronado B.C. SEMAR*,12.6,18.2,2024,1
-115.19,32.41,ENVOLEONob,BC,Observatorio de Ejido Nuevo Leï¿½n B.C. SMN*,5.7,22.2,2024,1
-115.95,30.6,SANISIDROS,BC,San Isidro B.C. SIMARBC*,6.5,18.0,2024,1
-116.16,31.0,COLONET,BC,Colonet B.C. SIMARBC*,7.6,18.2,2024,1
-116.38,31.27,ERENDIRA,BC,Erendira B.C. SIMARBC*,8.8,17.8,2024,1
-116.41,31.56,SANTOTOMASS,BC,Santo Tomï¿½s B.C. SIMARBC*,2.1,19.7,2024,1
-116.61,31.7,MANEADERO,BC,Maneadero B.C. SIMARBC*,7.9,17.8,2024,1
-116.62,32.07,ELPORVENIRS,BC,El Porvenir B.C. SIMARBC*,0.5,18.5,2024,1
-116.52,32.12,GUADALUPES,BC,Guadalupe B.C. SIMARBC*,4.3,18.9,2024,1
-115.06,32.18,ZACATECASS,BC,Zacatecas B.C. SIMARBC*,5.5,19.6,2024,1
-116.65,32.38,LASPALMASS,BC,Las Palmas B.C. SIMARBC*,3.8,19.3,2024,1
-115.2,32.41,NUEVOLEON,BC,Nuevo Leï¿½n B.C. SIMARBC*,3.9,21.2,2024,1
-114.83,32.49,SANLUISS,BC,San Luis B.C. SIMARBC*,4.7,19.8,2024,1
-115.04,32.67,ANDRADE,BC,Andrade B.C. SIMARBC*,6.6,19.8,2024,1
-111.35,26.01,BLORETO,BCS,Bahï¿½a de Loreto B.C.S. SMN*,12.3,25.1,2024,1
-109.92,22.89,SANLUCAS,BCS,Cabo San Lucas B.C.S. SMN*,17.4,26.9,2024,1
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,12.8,24.4,2024,1
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,11.2,23.3,2024,1
-109.71,23.12,SJCBS,BCS,San Josï¿½ del Cabo B.C.S.,13.3,25.3,2024,1
-110.21,23.48,TSNBS,BCS,Todos Santos B.C.S.,12.4,27.5,2024,1
-109.71,23.49,SNTBS,BCS,Santiago B.C.S.,6.9,27.8,2024,1
-109.59,23.59,RBRBS,BCS,La Ribera B.C.S.,11.4,25.1,2024,1
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,14.7,28.2,2024,1
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,10.0,23.8,2024,1
-110.06,23.8,SANBS,BCS,San Antonio B.C.S.,8.9,27.8,2024,1
-109.93,23.97,PLNBS,BCS,Los Planes B.C.S.,11.0,25.5,2024,1
-110.0,24.08,SARBS,BCS,El Sargento B.C.S.,12.1,23.3,2024,1
-113.46,27.64,DORBS,BCS,Dï¿½az Ordaz B.C.S.,3.9,22.0,2024,1
-114.05,27.96,GNGBS,BCS,Guerrero Negro B.C.S.,9.8,20.1,2024,1
-111.98,26.9,MLGBS,BCS,Mulegï¿½ B.C.S.,8.0,24.1,2024,1
-110.0,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,9.2,18.9,2024,1
-110.37,24.15,LPZBS,BCS,Observatorio de La Paz B.C.S.,13.6,25.2,2024,1
-111.66,25.01,CCNBS,BCS,Observatorio de Ciudad Constituciï¿½n B.C.S.,9.1,27.2,2024,1
-111.35,26.01,LRTBS,BCS,Observatorio de Loreto B.C.S.,12.1,24.4,2024,1
-112.27,27.34,SRLBS,BCS,Observatorio de Santa Rosalï¿½a B.C.S.,11.2,24.3,2024,1
-113.46,27.64,DIAZORDAZBN,BCS,Gustavo Dï¿½az Ordaz B.C.S. SMN*,8.6,22.6,2024,1
-109.72,23.14,MMSD,BCS,Aeropuerto Internacional de Los Cabos B.C.S.*,13.5,25.8,2024,1
-110.37,24.08,MMLP,BCS,Aeropuerto Internacional de La Paz B.C.S.*,10.4,23.2,2024,1
-111.35,25.99,MMLT,BCS,Aeropuerto Internacional de Loreto B.C.S.*,15.9,22.6,2024,1
-109.42,23.45,CPULMO,BCS,Cabo Pulmo B.C.S. SMN*,17.7,24.4,2024,1
-110.32,24.12,LAPAZob,BCS,Observatorio de La Paz B.C.S. SMN*,13.6,25.7,2024,1
-111.83,24.48,PCORTESMAR,BCS,Puerto Cortï¿½s B.C.S. SEMAR*,15.6,24.2,2024,1
-109.94,22.95,MMSL,BCS,Aerï¿½dromo Internacional de Cabo San Lucas B.C.S.,14.8,23.9,2024,1
-112.1,27.09,STAROSALIAMAR,BCS,Santa Rosalï¿½a B.C.S. SEMAR*,14.3,21.3,2024,1
-114.02,27.98,UABCSCGNJ,BCS,UABCS Campus Guerrero Negro B.C.S. JCAS*,8.3,20.7,2024,1
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,18.6,29.2,2024,1
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,19.9,29.6,2024,1
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,20.4,29.1,2024,1
-90.74,18.6,ESCCA,CAMP,Escï¿½rcega Camp.,21.5,32.7,2024,1
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,22.6,30.8,2024,1
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,19.2,29.2,2024,1
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,19.4,29.7,2024,1
-90.72,19.36,CHMCA,CAMP,Champotï¿½n Camp.,21.3,30.7,2024,1
-90.22,19.61,NYXCA,CAMP,Noh-Yaxchï¿½ Camp.,19.1,31.2,2024,1
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,17.5,30.7,2024,1
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,21.0,31.0,2024,1
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,19.9,31.7,2024,1
-90.11,20.18,HECCA,CAMP,Hecelchakï¿½n Camp.,20.3,30.5,2024,1
-90.82,18.06,MONCLOVACAMP,CAMP,Monclova Camp. SMN*,23.8,34.4,2024,1
-91.8,18.65,MMCE,CAMP,Aeropuerto Internacional de Ciudad del Carmen Camp.*,22.8,29.3,2024,1
-90.5,19.81,MMCP,CAMP,Aeropuerto Internacional de Campeche Camp.*,19.7,30.5,2024,1
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,19.8,29.0,2024,1
-90.31,19.01,YOHALTUM,CAMP,Yohaltï¿½n Camp. SMN*,18.7,31.1,2024,1
-89.74,20.0,BOLCA,CAMP,Bolonchï¿½n Camp.,20.3,30.4,2024,1
-92.1,18.25,PALIZADACA,CAMP,Palizada Camp. SMN*,21.1,31.3,2024,1
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,18.9,32.6,2024,1
-99.2,19.3,DATDF,CDMX,Desviaciï¿½n Alta Cd. de Mï¿½x.,8.9,22.2,2024,1
-99.08,19.47,SJADF,CDMX,San Juan de Aragï¿½n Cd. de Mï¿½x.,7.6,25.5,2024,1
-99.14,19.52,CEADF,CDMX,Campamento Amealco Cd. de Mï¿½x.,8.9,24.3,2024,1
-99.2,19.27,ECOGUARDAS,CDMX,Ecoguardas Ajusco Cd. de Mï¿½x. SMN*,6.5,23.7,2024,1
-99.1,19.39,TEZDF,CDMX,Tezontle Cd. de Mï¿½x. SMN*,12.8,24.2,2024,1
-99.2,19.41,CTMDF,CDMX,Observatorio de Tacubaya Cd. de Mï¿½x.,9.9,24.4,2024,1
-99.09,19.48,GCNDF,CDMX,km 6+250 Cd. de Mï¿½x.,5.5,24.8,2024,1
-99.07,19.44,MMMX,CDMX,Aeropuerto Internacional de la Ciudad de Mï¿½xico Cd. de Mï¿½x.*,9.8,23.8,2024,1
-99.26,19.36,SFESE,CDMX,Santa Fe Cd. de Mï¿½x. SGIRPC*,9.2,20.1,2024,1
-99.16,19.35,ENP6,CDMX,Escuela Nacional Preparatoria 6 Cd. de Mï¿½x. UNAM*,10.2,24.2,2024,1
-99.1,19.39,ENP2,CDMX,Escuela Nacional Preparatoria 2 Cd. de Mï¿½x. UNAM*,11.0,24.0,2024,1
-99.2,19.31,CCHS,CDMX,Colegio de Ciencias y Humanidades Sur Cd. de Mï¿½x. UNAM*,9.1,23.4,2024,1
-99.2,19.4,ENP4,CDMX,Escuela Nacional Preparatoria 4 Cd. de Mï¿½x. UNAM*,11.5,23.5,2024,1
-99.2,19.5,CCHA,CDMX,Colegio de Ciencias y Humanidades Azcapotzalco Cd. de Mï¿½x. UNAM*,8.1,22.7,2024,1
-99.06,19.38,CCHO,CDMX,Colegio de Ciencias y Humanidades Oriente Cd. de Mï¿½x. UNAM*,9.8,24.0,2024,1
-99.19,19.42,MDELREY,CDMX,Molino del Rey Cd. de Mï¿½x SMN*,8.9,23.8,2024,1
-99.12,19.27,ENP1,CDMX,Escuela Nacional Preparatoria 1 Cd. de Mï¿½x. UNAM*,10.4,24.4,2024,1
-99.16,19.15,AJUSE,CDMX,Ajusco Cd. de Mï¿½x. SGIRPC*,6.1,19.9,2024,1
-99.19,19.37,ENP8,CDMX,Escuela Nacional Preparatoria 8 Cd. de Mï¿½x. UNAM*,9.1,23.0,2024,1
-99.14,19.48,CCHV,CDMX,Colegio de Ciencias y Humanidades Vallejo Cd. de Mï¿½x. UNAM*,9.8,24.8,2024,1
-99.09,19.48,ENP3,CDMX,Escuela Nacional Preparatoria 3 Cd. de Mï¿½x. UNAM*,10.1,24.2,2024,1
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,9.7,26.1,2024,1
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,12.3,25.9,2024,1
-107.91,27.22,URECH,CHIH,Urique Chih.,9.8,28.2,2024,1
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,3.8,22.5,2024,1
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,4.0,21.1,2024,1
-107.48,28.48,AGZCH,CHIH,Abraham Gonzï¿½lez Chih.,-4.5,14.9,2024,1
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,3.7,21.6,2024,1
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,-3.3,18.1,2024,1
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,1.3,18.8,2024,1
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,-1.7,20.8,2024,1
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,-0.9,15.3,2024,1
-106.4,31.74,CJZCH,CHIH,Ciudad Juï¿½rez Chih.,3.5,15.2,2024,1
-106.77,26.23,CHNCH,CHIH,Chinatï¿½ Chih. SMN*,-2.9,17.7,2024,1
-107.07,26.82,GCCCH,CHIH,Guachochi Chih. SMN*,-2.6,13.6,2024,1
-104.91,27.11,JIMENEZCHIH,CHIH,Jimï¿½nez Chih. SMN*,0.1,20.5,2024,1
-108.54,27.39,CHICH,CHIH,Chï¿½nipas Chih. SMN*,4.5,25.6,2024,1
-107.63,27.75,CRLCH,CHIH,Creel Chih.,-3.8,16.4,2024,1
-107.99,27.86,MAGCH,CHIH,Maguarichi Chih. SMN*,5.2,18.5,2024,1
-106.84,28.4,CDCUAUHTEMOC,CHIH,Ciudad Cuauhtï¿½moc Chih. SMN*,2.4,17.0,2024,1
-106.49,28.8,MAJALCA,CHIH,Cumbres de Majalca Chih. SMN*,-5.2,15.1,2024,1
-108.43,30.84,JANOS,CHIH,Janos Chih. SMN*,-0.5,15.2,2024,1
-105.68,26.92,PRRCH,CHIH,Observatorio de Parral Chih.,3.6,21.9,2024,1
-107.85,28.95,TMCCH,CHIH,Observatorio de Temï¿½sachic Chih.,-5.3,17.0,2024,1
-107.93,30.38,CAGCH,CHIH,Observatorio de Nuevo Casas Grandes Chih.,0.5,17.0,2024,1
-105.97,28.7,MMCU,CHIH,Aeropuerto Internacional de Chihuahua Chih.*,1.6,18.9,2024,1
-106.44,31.64,MMCS,CHIH,Aeropuerto Internacional de Ciudad Juï¿½rez Chih.*,2.7,14.6,2024,1
-107.9,27.9,BTVCH,CHIH,Batovira Chih.,-4.3,15.6,2024,1
-106.39,26.47,ELVERGELSMN,CHIH,El Vergel Chih. SMN*,-3.3,13.3,2024,1
-106.5,30.62,VILLAAHUMADA,CHIH,Villa Ahumada Chih. SMN*,-3.0,16.2,2024,1
-104.47,29.53,OJINAGASMN,CHIH,Ojinaga Chih. SMN*,-1.0,19.0,2024,1
-105.38,27.58,COLINA,CHIH,Colina Chih. SGT*,0.2,17.8,2024,1
-106.45,31.76,CILANORTE,CHIH,CILA Norte Chih. SGT*,2.6,12.2,2024,1
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,3.7,20.9,2024,1
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. Leï¿½n Chih.,3.2,22.5,2024,1
-105.69,26.93,PARRALJ,CHIH,Parral Chih. JCAS*,4.8,21.3,2024,1
-106.35,26.95,BALLEZAJ,CHIH,Balleza Chih. JCAS*,1.6,21.6,2024,1
-104.9,27.12,JIMENEZJ,CHIH,Jimï¿½nez Chih. JCAS*,1.9,21.4,2024,1
-108.28,27.28,TEMORISJ,CHIH,Tï¿½moris Chih. JCAS*,4.7,19.6,2024,1
-106.11,27.96,SATEVOJ,CHIH,Satevï¿½ Chih. JCAS*,1.9,22.1,2024,1
-107.6,27.97,SANJUANITOJ,CHIH,San Juanito Chih. JCAS*,-5.4,15.0,2024,1
-106.4,28.34,SANTAISABELJ,CHIH,Santa Isabel Chih. JCAS*,-0.4,20.3,2024,1
-106.1,28.62,CHIHPOTB,CHIH,Chihuahua Potabilizadora Chih. JCAS*,5.3,20.0,2024,1
-106.08,28.64,CHIHJCAS,CHIH,Chihuahua JCAS Chih. JCAS*,4.7,21.1,2024,1
-106.08,28.68,CHIHPCIVIL,CHIH,Chihuahua PCivil Chih. JCAS*,3.3,19.5,2024,1
-105.91,28.84,ALDAMAJ,CHIH,Aldama Chih. JCAS*,3.8,19.4,2024,1
-107.83,28.95,TEMOSACHIJ,CHIH,Temï¿½sachi Chih. JCAS*,-5.4,15.7,2024,1
-103.91,29.11,MBENAVIDESJ,CHIH,Manuel Benavides Chih. JCAS*,3.6,18.2,2024,1
-107.39,29.18,ELTERREROJ,CHIH,El Terrero Chih. JCAS*,-0.6,17.3,2024,1
-108.14,29.19,MADERAJ,CHIH,Madera Chih. JCAS*,-3.3,13.0,2024,1
-105.09,29.46,COYAMEJ,CHIH,Coyame Chih. JCAS*,2.2,18.3,2024,1
-104.41,29.57,OJINAGAJ,CHIH,Ojinaga Chih. JCAS*,2.5,19.7,2024,1
-106.51,30.62,AHUMADAJ,CHIH,Ahumada Chih. JCAS*,0.3,17.2,2024,1
-108.0,31.09,ASCENCIONJ,CHIH,Ascensiï¿½n Chih. JCAS*,0.9,16.6,2024,1
-106.01,31.37,PRAXEDISJ,CHIH,Prï¿½xedis Chih. JCAS*,0.5,16.1,2024,1
-106.75,31.72,CONEJOSJ,CHIH,Juï¿½rez Conejos Mï¿½danos Chih. JCAS*,1.0,17.0,2024,1
-106.53,31.73,DONBOSCOJ,CHIH,Don Bosco Chih. JCAS*,3.8,15.3,2024,1
-106.43,31.74,IIT01J,CHIH,Instituto de Ingenierï¿½a y Tecnologï¿½a 01 Chih. JCAS*,4.2,16.7,2024,1
-107.63,31.77,PALOMASJ,CHIH,Palomas Chih. JCAS*,0.9,15.5,2024,1
-107.64,27.75,CREELJ,CHIH,Creel Chih. JCAS*,-3.7,13.6,2024,1
-92.4,15.0,HUECP,CHIS,Huehuetï¿½n Chis.,22.3,34.1,2024,1
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,21.2,35.9,2024,1
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,20.9,34.9,2024,1
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,20.2,36.1,2024,1
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,21.3,34.1,2024,1
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,21.3,36.0,2024,1
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,15.9,34.1,2024,1
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,15.9,32.3,2024,1
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,15.8,31.6,2024,1
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,16.1,31.8,2024,1
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,21.2,35.4,2024,1
-92.67,15.92,REFCP,CHIS,Reforma Chis.,13.8,30.5,2024,1
-93.08,16.16,REVCP,CHIS,Revoluciï¿½n Mexicana Chis.,15.5,32.8,2024,1
-92.1,16.2,COOCP,CHIS,Observatorio de Comitï¿½n Chis.,12.7,25.8,2024,1
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,15.5,33.6,2024,1
-92.78,16.4,ANGCP,CHIS,Doctor Belisario Domï¿½nguez Chis.,17.7,33.1,2024,1
-92.8,16.55,ACACP,CHIS,Acala Chis.,17.6,32.9,2024,1
-90.7,16.58,LACCP,CHIS,Lacantï¿½n Chis.,19.4,30.0,2024,1
-93.15,16.64,BOQCP,CHIS,Boquerï¿½n Chis.,18.1,32.2,2024,1
-92.63,16.73,SCOCP,CHIS,Observatorio de San Cristï¿½bal Chis.,7.5,24.4,2024,1
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla Gutiï¿½rrez Chis.,18.4,31.5,2024,1
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,19.1,32.4,2024,1
-92.82,16.94,SNACP,CHIS,Santa Marï¿½a Chis.,18.5,32.1,2024,1
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,20.5,30.9,2024,1
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,17.9,32.7,2024,1
-93.33,17.12,YAMCP,CHIS,Yamonhï¿½ Chis.,18.3,31.0,2024,1
-93.6,17.18,MALCP,CHIS,Nezahualcï¿½yotl Chis.,20.9,30.9,2024,1
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,19.9,30.7,2024,1
-93.46,17.45,PENCP,CHIS,ï¿½ngel Albino Corzo Chis.,21.3,29.9,2024,1
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,19.3,29.0,2024,1
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,6.7,23.6,2024,1
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,17.7,26.3,2024,1
-92.81,15.66,ELTRIUNFO,CHIS,El Triunfo Chis. SMN*,8.5,21.9,2024,1
